#,height,body_weight,body_fat_percentage,A_hand,Forearm_length,Upper_arm_length,Foot_length,Crim_length,Thigh_length,Head_and_neck_manager,Cervical_circumference,Upper_brachial_circumference,Front_arm_maximum_enclosure,Upper_chest_circumference,Abdominal_circumference,Femur_circumference,Crim_circumference,Owl_head_lower_edge_height,Shoulder_peak_height
MG006201,148.4,44.2,25.3,17,20.5,27.5,21,34,39.5,23.5,30.5,26,21,82,84,46,32,91,120
MG006301,163.7,64.5,27.3,20,27,32.5,26,39,41,24.5,37.5,25.5,23,96,100,47,35,100.5,136
MG006401,160.2,68.5,30.6,18,22.5,30,24,34.5,39.5,24,40,30,25,97,97.5,53,37,98,131
MG006501,164.3,64.8,21.7,17.5,23,29.5,23.5,37,38,24.5,37.5,29.5,26,91.5,96,52,36,101.5,133.5
MG006601,155.5,46.6,15.1,18,23,28,23.5,35.5,38,24,33,23.5,20,82.5,86,45.5,30.5,96,127.5
MG006701,165.6,49.3,13.5,20,26,30.5,25,36.5,39.5,25.5,36.5,24.5,22,86,85.5,44,32,100,133
MG006801,160,65.9,21.4,17.5,23.5,29.5,25,35.5,37.5,22,39.5,30.5,26,97,95.5,53.5,35,95,128
MG006901,171.1,85.3,26.5,18.5,24.5,31,25.5,38.5,39,25,42.5,32,28,108,109,54.5,40,106,140.5
MG007001,154,64,29.7,17,21,30.5,23.5,33.5,41,22.5,37,30,25,103,105.5,49,33.5,100,125
MG007101,169.1,78,22.8,20,26,33.5,27,39.5,41.5,26.5,41,28.5,28,104,102,54.5,38,102.5,139
MG007201,167.3,81.5,30.2,19.5,25.5,32,25,38.5,42,24,42,32,27,110,106,56,40,104,139
MG007301,144.8,47.2,28.2,16.5,21.5,27,22.5,35,35.5,23,34.5,27,21.5,83,91,47.5,29.5,99,117.5
MG007401,165.9,49.8,11,18.5,26,32,25,40,43.5,25.5,36.5,24,23.5,85,86,44,33.5,100.5,135
MG007501,161.9,65,27.6,19,24.5,31.5,25,37.5,39,23.5,38.5,29,26,102,96,51.5,34.5,96.5,130.5
MG007601,173.3,79.2,29.8,19,24.5,32.5,25.5,40,46,24,44,30.5,25,103,106,52.5,40.5,108,143
MG007701,155.6,53.1,18.6,17,22.5,30.5,22.5,36,39.5,21.5,36,26.5,24.5,89.5,88,50,32.5,95,127.5
MG007801,157.4,56.6,29.8,17.5,23,29.5,24,37.5,39,26,33,27,24,94.5,94,49,35,95,126
MG007901,151.3,47.2,25,18,21.5,29.5,22,35,39,22.5,31.5,21.5,21,78,91,52.5,33,91.5,121
MG008001,155.5,67.9,41.5,17.5,21,30,22.5,35,38,22.5,36,32,24,97.5,103,60,39,95.5,128
MG008101,167.4,57.3,15.4,18.5,24.5,31,25.5,38,39.5,23.5,37.5,26,25,93.5,92,45.5,32.5,107,139
MG008201,167.1,60.2,18.8,19,25,32,24,38,39.5,24,36,27,24.5,94,93,50.5,34,101.5,135.5
MG008301,150.9,52.2,27.8,17,22,31,23,34.5,37,21.5,35,28,21.5,90,97.5,52,32,91,123
MG008401,168,67,23.6,17.5,24,30,24,38.5,39.5,23.5,39,31,25,98.5,96.5,52.5,36.5,104,138
MG008501,163.3,58.9,21.7,18,22,29.5,23.5,36,38.5,24.5,39,28,24.5,91,90,48.5,34,103,135
MG008601,163.7,63.5,19.9,19,24.5,31.5,24,38.5,39,25.5,37,29.5,25.5,94,91.5,50.5,36.5,101,134.5
MG008701,157.3,52.5,19.1,17.5,23.5,30.5,22.5,36,38,23.5,39,26.5,25,88.5,88,46,32,93.5,126.5
MG008801,160.5,52,23.4,17.5,22.5,33,22.5,36.5,39,24,32.5,26,20.5,85,93.5,54,33.5,97,132
MG008901,148.2,56.3,31,17,19.5,30.5,22.5,32.5,35,23.5,34,28.5,23.5,93.5,97.5,51,33.5,91,121
MG009001,149,58.4,35,17,23,29,23,35.5,36,22.5,32.5,31,21.5,91,102,53,35,92,122
MG009101,157,53,24.8,17,20.5,30.5,23,34.5,39.5,24,33,28,23.5,90,90.5,48,34,93,124.5
MG009201,146.3,58.3,35.8,16.5,20,28.5,22,32.5,35,23.5,33,33,24.5,90,98,61,37,87,118
MG009301,151.8,64.3,37.3,19.5,22.5,28.5,21.5,37,37.5,24.5,34.5,33.5,25,99,99.5,57.5,38.5,92,122.5
MG009401,163.9,63.3,23.6,18,24,31,24.5,38,38.5,24,39.5,28,25.5,94,92.5,52,33.5,101,134
MG009501,175.5,95.5,35.1,19,26,33,26,39.5,45,27,42.5,34,29.5,109,115.5,57.5,41.5,107,142.5
